time,code,class
0,ing,1
12.979,autre,2
29.432,ing,1
101.193,autre,2
120.519,ing,1
141.024,Noview,3
188.23,ing,1
431.053,autre,2
436.203,Noview,3
442.178,ing,1
695.727,autre,2
713.802,ing,1
1021.455,autre,2
1034.731,ing,1
1181.754,autre,2
1183.128,Noview,3
1199.781,ing,1
1216.433,autre,2
1240.033,ing,1
1259.509,autre,2
1288.286,ing,1
1319.11,autre,2
1341.589,ing,1
1366.546,autre,2
1390.573,Noview,3
1397.723,autre,2
1580.696,ing,1
1619.776,autre,2
1634.555,ing,1
1677.112,autre,2
1714.366,ing,1
