time,code,class
0,Autre,2
15.801,Ing,1
35.331,Autre,2
93.74,Ing,1
110.66,Autre,2
121.371,Noview,3
125.69,Autre,2
136.22,Ing,1
159.98,Autre,2
188.061,Ing,1
216.59,Autre,2
242.78,Ing,1
330.349,Autre,2
333.86,Noview,3
348.169,Autre,2
367.161,Ing,1
400.513,Autre,2
445.512,Ing,1
473.682,Autre,2
491.593,Ing,1
496.632,Autre,2
521.743,Ing,1
569.983,Autre,2
596.803,Ing,1
602.923,Autre,2
634.603,Ing,1
638.113,Autre,2
640.813,Noview,3
658.902,Ing,1
683.203,Autre,2
711.552,Ing,1
771.853,Autre,2
795.253,Ing,1
822.432,Autre,2
873.462,Ing,1
927.822,Autre,2
945.283,Ing,1
1077.852,Autre,2
1087.572,Ing,1
1105.842,Autre,2
1126.091,Ing,1
1165.332,Autre,2
1186.032,Ing,1
1224.552,Autre,2
1249.211,Ing,1
1312.482,Autre,2
1379.622,Noview,3
1388.983,Ing,1
1412.473,Autre,2
1442.713,Ing,1
1445.142,Autre,2
1801.17,END,0
