time,code,class
18.454,Bite,1
19.253,Bite,1
20.078,Bite,1
20.878,Bite,1
21.678,Bite,1
22.478,Bite,1
23.028,Bite,1
23.853,Bite,1
24.677,Bite,1
25.753,Bite,1
26.828,Bite,1
27.628,Bite,1
28.178,Bite,1
29.253,Bite,1
30.078,Bite,1
31.703,Bite,1
32.528,Bite,1
33.327,Bite,1
34.153,Bite,1
34.977,Bite,1
36.328,Bite,1
37.403,Bite,1
38.228,Bite,1
38.778,Bite,1
39.578,Bite,1
40.403,Bite,1
40.953,Bite,1
41.778,Bite,1
42.603,Bite,1
43.402,Bite,1
43.928,Bite,1
45.028,Bite,1
45.827,Bite,1
46.352,Bite,1
47.178,Bite,1
47.978,Bite,1
48.803,Bite,1
49.602,Bite,1
50.403,Bite,1
51.227,Bite,1
52.052,Bite,1
52.877,Bite,1
53.677,Bite,1
55.302,Bite,1
56.378,Bite,1
56.927,Bite,1
57.728,Bite,1
58.528,Bite,1
59.602,Bite,1
60.378,Bite,1
60.928,Bite,1
61.753,Bite,1
62.302,Bite,1
63.102,Bite,1
63.927,Bite,1
64.703,Bite,1
65.528,Bite,1
66.353,Bite,1
67.152,Bite,1
67.953,Bite,1
69.027,Bite,1
69.828,Bite,1
70.628,Bite,1
71.728,Bite,1
73.352,Bite,1
75.228,Bite,1
76.028,Bite,1
76.852,Bite,1
77.377,Bite,1
77.927,Bite,1
78.978,Bite,1
80.628,Bite,1
81.153,Bite,1
82.203,Bite,1
83.302,Bite,1
83.827,Bite,1
84.627,Bite,1
85.428,Bite,1
85.977,Bite,1
86.777,Bite,1
87.578,Bite,1
88.378,Bite,1
89.178,Bite,1
90.003,Bite,1
90.828,Bite,1
91.653,Bite,1
92.477,Bite,1
93.277,Bite,1
96.203,Bite,1
97.028,Bite,1
101.352,Bite,1
101.902,Bite,1
102.702,Bite,1
103.227,Bite,1
104.053,Bite,1
104.852,Bite,1
105.928,Bite,1
106.477,Bite,1
107.253,Bite,1
107.802,Bite,1
108.353,Bite,1
109.428,Bite,1
109.978,Bite,1
111.053,Bite,1
111.602,Bite,1
112.403,Bite,1
113.203,Bite,1
114.027,Bite,1
114.828,Bite,1
115.627,Bite,1
116.727,Bite,1
117.278,Bite,1
118.077,Bite,1
118.878,Bite,1
119.678,Bite,1
120.778,Bite,1
121.327,Bite,1
122.428,Bite,1
122.978,Bite,1
123.802,Bite,1
125.128,Bite,1
125.953,Bite,1
126.778,Bite,1
127.864,Bite,1
128.378,Bite,1
129.202,Bite,1
130.828,Bite,1
134.628,Bite,1
135.152,Bite,1
136.503,Bite,1
137.052,Bite,1
137.853,Bite,1
138.402,Bite,1
139.453,Bite,1
142.977,Bite,1
143.528,Bite,1
143.802,Bite,1
144.328,Bite,1
144.853,Bite,1
145.653,Bite,1
146.453,Bite,1
147.527,Bite,1
148.053,Bite,1
149.127,Bite,1
149.652,Bite,1
150.477,Bite,1
151.253,Bite,1
152.077,Bite,1
153.152,Bite,1
153.678,Bite,1
154.503,Bite,1
155.327,Bite,1
156.153,Bite,1
156.978,Bite,1
158.328,Bite,1
158.853,Bite,1
159.653,Bite,1
160.478,Bite,1
161.027,Bite,1
161.853,Bite,1
162.403,Bite,1
163.203,Bite,1
164.028,Bite,1
164.828,Bite,1
165.628,Bite,1
166.178,Bite,1
167.228,Bite,1
168.303,Bite,1
169.678,Bite,1
170.502,Bite,1
171.278,Bite,1
172.102,Bite,1
173.202,Bite,1
174.028,Bite,1
174.853,Bite,1
175.677,Bite,1
176.478,Bite,1
177.303,Bite,1
177.852,Bite,1
178.928,Bite,1
179.752,Bite,1
181.128,Bite,1
183.827,Bite,1
184.628,Bite,1
185.452,Bite,1
186.252,Bite,1
187.028,Bite,1
187.852,Bite,1
188.677,Bite,1
189.203,Bite,1
190.552,Bite,1
